"country","Date","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual","state legitimacy","region","freedom_status","FOE","civil_liberties"
"Kyrgyzstan","2022-03-01",2739073,1441985,NA,NA,NA,NA,8.5,"Eurasia","NF",10,23
"Laos","2022-03-01",9215226,4909112,7275556,67.47404596982,67.47404596982,1.26660093056806,9,"Asia","NF",3,11
"Latvia","2022-03-01",2853123,1341697,1886202,71.1322011110157,71.1322011110157,1.51262855197906,2.1,"Europe","F",14,51
"Lebanon","2022-03-01",5176128,2491955,6825442,36.5097967281826,36.5097967281826,0.758357920263625,7.8,"Middle East","PF",10,29
"Lesotho","2022-03-01",857925,782175,NA,NA,NA,NA,4.8,"Africa","PF",12,36
"Liberia","2022-03-01",880313,1018979,NA,NA,NA,NA,6.5,"Africa","PF",11,33
"Libya","2022-03-01",3324621,2159157,NA,NA,NA,NA,9.4,"Africa","NF",4,8
"Liechtenstein","2022-03-01",70233,26708,38137,70.0317277184886,70.0317277184886,1.84159739885151,NA,"Europe","F",16,57
"Lithuania","2022-03-01",4451332,1946324,2722291,71.4958099630054,71.4958099630054,1.63514187131354,1.3,"Europe","F",15,51
"Luxembourg","2022-03-01",1269558,479294,625976,76.5674722353573,76.5674722353573,2.02812567893977,0.3,"Europe","F",16,59
"Madagascar","2022-03-01",1228391,1038325,NA,NA,NA,NA,7,"Africa","PF",11,34
"Malawi","2022-03-01",1934835,1536112,19129955,8.02987774932037,8.02987774932037,0.101141638859056,7.4,"Africa","PF",13,37
"Malaysia","2022-03-01",67372325,27040666,32365998,83.5465231135465,83.5465231135465,2.0815772465907,6.4,"Asia","PF",8,30
"Maldives","2022-03-01",902028,398214,540542,73.669391092644,73.669391092644,1.66874729438231,7.2,"Asia","PF",3,21
"Mali","2022-03-01",1634711,1155936,NA,NA,NA,NA,8.5,"Africa","NF",10,24
"Malta","2022-03-01",1242888,470596,441539,106.580845633115,106.580845633115,2.81489970308399,3.2,"Europe","F",14,54
"Mauritania","2022-03-01",1937226,1539645,NA,NA,NA,NA,7.9,"Africa","PF",9,21
"Mauritius","2022-03-01",2353567,937052,1271767,73.6811066807049,73.6811066807049,1.85062751274408,2.1,"Africa","F",14,50
"Mexico","2022-03-01",181945907,85192820,127792286,66.6650724128998,66.6650724128998,1.42376283181913,6,"Americas","PF",12,33
"Moldova","2022-03-01",2067005,1074332,4033963,26.632172878135,26.632172878135,0.51240058473516,5.2,"Eurasia","PF",12,35
"Monaco","2022-03-01",65140,28875,39244,73.5781265926001,73.5781265926001,1.65987157272449,NA,"Europe","F",16,57
"Mongolia","2022-03-01",5467728,2271548,3278292,69.2905940044389,69.2905940044389,1.66785875083733,3.8,"Asia","F",14,48
"Montenegro","2022-03-01",663335,288551,628062,45.9430756836109,45.9430756836109,1.05616165283045,3.8,"Europe","PF",12,41
"Morocco","2022-03-01",53735588,24842826,36910558,67.3054739513827,67.3054739513827,1.45583244772404,6.8,"Africa","PF",7,24
"Mozambique","2022-03-01",19066507,12195082,31255435,39.0174764804905,39.0174764804905,0.610022128951333,6.8,"Africa","PF",9,29
"Namibia","2022-03-01",814463,440661,2540916,17.3426040057995,17.3426040057995,0.32053912840881,3.1,"Africa","F",14,46
"Nauru","2022-03-01",15128,7764,NA,NA,NA,NA,NA,"Asia","F",13,43
"Nepal","2022-03-01",37125732,21575023,29136808,74.0473115654948,74.0473115654948,1.27418665764623,6.1,"Asia","PF",10,32
"Netherlands","2022-03-01",32775813,12738307,17134873,74.341414727731,74.341414727731,1.91281330185523,0.3,"Europe","F",16,58
