"Date","country","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual"
"2022-03-01","Libya",3324621,2159157,NA,NA,NA,NA
"2022-03-01","Liechtenstein",70233,26708,38137,70.0317277184886,70.0317277184886,1.84159739885151
"2022-03-01","Lithuania",4451332,1946324,2722291,71.4958099630054,71.4958099630054,1.63514187131354
"2022-03-01","Luxembourg",1269558,479294,625976,76.5674722353573,76.5674722353573,2.02812567893977
"2022-03-01","Madagascar",1228391,1038325,NA,NA,NA,NA
"2022-03-01","Malawi",1934835,1536112,19129955,8.02987774932037,8.02987774932037,0.101141638859056
"2022-03-01","Malaysia",67372325,27040666,32365998,83.5465231135465,83.5465231135465,2.0815772465907
"2022-03-01","Maldives",902028,398214,540542,73.669391092644,73.669391092644,1.66874729438231
"2022-03-01","Mali",1634711,1155936,NA,NA,NA,NA
"2022-03-01","Malta",1242888,470596,441539,106.580845633115,106.580845633115,2.81489970308399
"2022-03-01","Mauritania",1937226,1539645,NA,NA,NA,NA
"2022-03-01","Mauritius",2353567,937052,1271767,73.6811066807049,73.6811066807049,1.85062751274408
"2022-03-01","Mexico",181945907,85192820,127792286,66.6650724128998,66.6650724128998,1.42376283181913
"2022-03-01","Moldova",2067005,1074332,4033963,26.632172878135,26.632172878135,0.51240058473516
"2022-03-01","Monaco",65140,28875,39244,73.5781265926001,73.5781265926001,1.65987157272449
"2022-03-01","Mongolia",5467728,2271548,3278292,69.2905940044389,69.2905940044389,1.66785875083733
"2022-03-01","Montenegro",663335,288551,628062,45.9430756836109,45.9430756836109,1.05616165283045
"2022-03-01","Morocco",53735588,24842826,36910558,67.3054739513827,67.3054739513827,1.45583244772404
"2022-03-01","Mozambique",19066507,12195082,31255435,39.0174764804905,39.0174764804905,0.610022128951333
"2022-03-01","Namibia",814463,440661,2540916,17.3426040057995,17.3426040057995,0.32053912840881
"2022-03-01","Nauru",15128,7764,NA,NA,NA,NA
"2022-03-01","Nepal",37125732,21575023,29136808,74.0473115654948,74.0473115654948,1.27418665764623
"2022-03-01","Netherlands",32775813,12738307,17134873,74.341414727731,74.341414727731,1.91281330185523
"2022-03-01","New Zealand",10629827,4259845,4822233,88.3376021025944,88.3376021025944,2.20433707786413
"2022-03-01","Nicaragua",9367505,5423137,NA,NA,NA,NA
"2022-03-01","Niger",1840055,1474560,NA,NA,NA,NA
"2022-03-01","Nigeria",26516526,17735985,206139587,8.60387141456726,8.60387141456726,0.128633836837948
"2022-03-01","North Macedonia",1826409,847017,2083380,40.6559053077211,40.6559053077211,0.876656682890303
"2022-03-01","Norway",11266569,4332112,5421242,79.9099542134441,79.9099542134441,2.07822653923215
"2022-03-01","Oman",6878593,3220696,5106622,63.0690111780351,63.0690111780351,1.3469947452543
"2022-03-01","Pakistan",214661126,126722806,220892331,57.3685856029108,57.3685856029108,0.971790759001045
"2022-03-01","Panama",7544898,3331140,4314768,77.2032239045066,77.2032239045066,1.74862194212991
"2022-03-01","Papua New Guinea",547855,304082,NA,NA,NA,NA
"2022-03-01","Paraguay",8070750,3786974,7132530,53.0943998833514,53.0943998833514,1.13154098195171
"2022-03-01","Peru",63531023,27963145,32971846,84.809158092028,84.809158092028,1.92682639000558
"2022-03-01","Philippines",134332014,68661595,109581085,62.6582543876071,62.6582543876071,1.22586862504601
"2022-03-01","Poland",53324129,22519535,37846605,59.502127073221,59.502127073221,1.40895409244766
"2022-03-01","Portugal",23608337,9713429,10196707,95.26045026105,95.26045026105,2.31529031872741
