"Country","Doses_admin","Ppl_1_Dose","Population","VaxxedOncePercentage","TotalDosesPerIndividual","State_Illegitimacy","Region","Freedom_Status","FOE","Civil_Liberties"
"Paraguay",8070750,3786974,7132530,53.0943998833514,1.13154098195171,6.7,"Americas","2",12,37
"Peru",63531023,27963145,32971846,84.809158092028,1.92682639000558,6.9,"Americas","3",15,42
"Philippines",134332014,68661595,109581085,62.6582543876071,1.22586862504601,7.1,"Asia","2",11,30
"Poland",53324129,22519535,37846605,59.502127073221,1.40895409244766,4,"Europe","3",13,47
"Portugal",23608337,9713429,10196707,95.26045026105,2.31529031872741,0.8,"Europe","3",16,56
"Qatar",6325732,2360308,2881060,81.9249859426739,2.19562660965061,6.3,"Middle East","1",7,18
"Romania",16677784,5474507,19237682,28.4572070585219,0.866933136746932,4.7,"Europe","3",13,48
"Russia",160816996,78284278,145934460,53.6434492579751,1.10198095775323,8.6,"Eurasia","1",3,14
"Rwanda",19421047,8895871,12952209,68.682268792914,1.49943897600788,6.7,"Africa","1",3,14
"Samoa",276278,145989,NA,NA,NA,4.4,"Asia","3",14,51
"San Marino",64480,24583,33938,72.435028581531,1.89993517590901,NA,"Europe","3",15,55
"Sao Tome and Principe",182238,88983,NA,NA,NA,4.1,"Africa","3",15,49
"Saudi Arabia",60953969,25960748,34813867,74.5701360897369,1.75085315859913,7.8,"Middle East","1",2,6
"Senegal",2064199,1440720,16743930,8.60443157609952,0.123280436552231,3.7,"Africa","2",13,39
"Serbia",8472336,3343966,8737370,38.2719971799294,0.969666615926761,5.8,"Europe","2",12,41
"Seychelles",196959,84074,98340,85.4931869025829,2.00283709579012,4,"Africa","3",14,45
"Sierra Leone",1813692,1480815,7976985,18.5635926355634,0.227365602417455,5.4,"Africa","2",12,37
"Singapore",13723906,5088356,5850343,86.9753448643951,2.34582929582078,3.7,"Asia","2",7,28
"Slovakia",5710247,2591078,5459643,47.4587440973705,1.0459011697285,3.5,"Europe","3",15,53
"Slovenia",2962788,1263808,2078932,60.7912139502398,1.42514906692475,1.7,"Europe","3",14,52
"Solomon Islands",301219,206118,NA,NA,NA,6.1,"Asia","3",16,49
"Somalia",1838348,1479158,NA,NA,NA,9.5,"Africa","1",3,6
"South Africa",31439128,20336132,59308690,34.2886211110041,0.530093111144421,6.4,"Africa","3",15,46
"South Korea",119359992,44608525,NA,NA,NA,2.7,"Asia","3",14,50
"South Sudan",524292,475558,NA,NA,NA,9.6,"Africa","1",2,4
"Spain",92633158,41073324,46754783,87.8483897572576,1.98125522259402,6.6,"Europe","3",14,53
"Sri Lanka",38275280,16903964,21413250,78.9416085834705,1.78745776563576,6,"Asia","2",8,32
"Sudan",5711034,5126250,NA,NA,NA,9.3,"Africa","1",5,10
"Suriname",502059,266344,586634,45.4020735245485,0.855830040536348,3.5,"Americas","3",15,45
"Sweden",20574867,7757480,10099270,76.8122844522426,2.03726279226122,0.6,"Europe","3",16,60
"Switzerland",15571827,6074190,8654618,70.1843801771494,1.799250642836,0.3,"Europe","3",15,57
"Syria",3187594,2197941,NA,NA,NA,10,"Middle East","1",3,4
